study_id,study_label,study_date,source_run_id,source_run_path,run_index,task,model,model_short,upstream_provider,arm,treatment_label,valid,resolved,evaluation_completed,total_tokens,tool_calls,api_calls,cost_usd,wall_seconds,pc1,pc2
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,23__v4-flash-0731__ponytail__django__django-15731__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/23__v4-flash-0731__ponytail__django__django-15731__r1,23,django__django-15731,deepseek/deepseek-v4-flash-0731,V4,relace,ponytail,Ponytail,True,True,True,580825,28,29,0.010534671999999998,79.9883772849571,-1.6343029646983636,0.054823718931087936
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,24__v4-flash-0731__baseline__django__django-15731__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/24__v4-flash-0731__baseline__django__django-15731__r1,24,django__django-15731,deepseek/deepseek-v4-flash-0731,V4,relace,baseline,Baseline,True,True,True,661903,37,35,0.011829880000000001,93.82670875801705,-1.221671222173969,-0.2131509762995192
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,25__v4-1-flash__caveman__django__django-7530__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/25__v4-1-flash__caveman__django__django-7530__r1,25,django__django-7530,deepseek/deepseek-v4.1-flash-20260910,V4.1,deepseek,caveman,Caveman,True,True,True,38485941,350,340,0.17126216999999994,876.2426592800766,6.260291496545908,-0.5247985318807258
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,26__v4-flash-0731__baseline__django__django-13516__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/26__v4-flash-0731__baseline__django__django-13516__r1,26,django__django-13516,deepseek/deepseek-v4-flash-0731,V4,relace,baseline,Baseline,True,False,True,1731542,58,59,0.03236146399999999,380.9461710010655,0.44701517677328445,-2.6313957076637218
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,27__v4-flash-0731__ponytail__django__django-13516__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/27__v4-flash-0731__ponytail__django__django-13516__r1,27,django__django-13516,deepseek/deepseek-v4-flash-0731,V4,relace,ponytail,Ponytail,True,True,True,525903,24,25,0.010231800000000001,170.74114452581853,-1.511641939221851,-0.25164852237031193
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,28__v4-flash-0731__caveman_ponytail__django__django-7530__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/28__v4-flash-0731__caveman_ponytail__django__django-7530__r1,28,django__django-7530,deepseek/deepseek-v4-flash-0731,V4,relace,caveman_ponytail,Caveman + Ponytail,True,True,True,1486246,50,48,0.029699319999999998,319.22958032018505,0.23747784116813211,-1.1203939930753537
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,29__v4-1-flash__baseline__django__django-16662__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/29__v4-1-flash__baseline__django__django-16662__r1,29,django__django-16662,deepseek/deepseek-v4.1-flash-20260910,V4.1,deepseek,baseline,Baseline,True,True,True,752512,39,36,0.009280302000000002,84.33760722307488,-1.2415881790735455,-0.492524032571737
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,30__v4-flash-0731__baseline__django__django-16662__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/30__v4-flash-0731__baseline__django__django-16662__r1,30,django__django-16662,deepseek/deepseek-v4-flash-0731,V4,relace,baseline,Baseline,True,True,True,891014,42,43,0.017553720000000005,166.79472946212627,-0.3039864814892655,1.3476143900030049
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,31__v4-flash-0731__caveman__django__django-15731__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/31__v4-flash-0731__caveman__django__django-15731__r1,31,django__django-15731,deepseek/deepseek-v4-flash-0731,V4,relace,caveman,Caveman,True,True,True,753326,40,37,0.015586840000000005,238.77506848587655,-0.5599893178484817,-0.31601855462829337
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,32__v4-flash-0731__ponytail__pytest-dev__pytest-7571__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/32__v4-flash-0731__ponytail__pytest-dev__pytest-7571__r1,32,pytest-dev__pytest-7571,deepseek/deepseek-v4-flash-0731,V4,relace,ponytail,Ponytail,True,True,True,740288,30,29,0.016549552000000002,271.4855668991804,-0.741835607126324,0.2995337963102362
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,33__v4-flash-0731__caveman__django__django-13516__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/33__v4-flash-0731__caveman__django__django-13516__r1,33,django__django-13516,deepseek/deepseek-v4-flash-0731,V4,relace,caveman,Caveman,True,True,True,1070861,42,43,0.021262088000000002,257.92170460289344,-0.1871044621024614,-0.36131744635050583
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,34__v4-flash-0731__caveman__django__django-7530__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/34__v4-flash-0731__caveman__django__django-7530__r1,34,django__django-7530,deepseek/deepseek-v4-flash-0731,V4,relace,caveman,Caveman,True,True,True,757942,32,30,0.017133808,363.829202682944,-0.6386721818085532,-0.661976138735454
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,35__v4-1-flash__ponytail__pytest-dev__pytest-7571__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/35__v4-1-flash__ponytail__pytest-dev__pytest-7571__r1,35,pytest-dev__pytest-7571,deepseek/deepseek-v4.1-flash-20260910,V4.1,deepseek,ponytail,Ponytail,True,True,True,1046198,45,44,0.011368475999999995,409.7882945809979,0.24791542887282791,1.5217205846778155
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,36__v4-flash-0731__caveman__pytest-dev__pytest-7571__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/36__v4-flash-0731__caveman__pytest-dev__pytest-7571__r1,36,pytest-dev__pytest-7571,deepseek/deepseek-v4-flash-0731,V4,relace,caveman,Caveman,True,True,True,1039245,36,35,0.019565047999999995,139.4317527008243,-0.6797634619454964,0.33295668883925544
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,37__v4-1-flash__baseline__django__django-13516__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/37__v4-1-flash__baseline__django__django-13516__r1,37,django__django-13516,deepseek/deepseek-v4.1-flash-20260910,V4.1,deepseek,baseline,Baseline,True,True,True,783846,41,39,0.009121739999999998,121.65570601890795,-0.9550012328374858,-0.5231653094627509
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,38__v4-flash-0731__baseline__django__django-7530__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/38__v4-flash-0731__baseline__django__django-7530__r1,38,django__django-7530,deepseek/deepseek-v4-flash-0731,V4,relace,baseline,Baseline,True,True,True,479038,27,27,0.010317416000000001,70.44683284498751,-1.9757734175112496,-0.8625033602733289
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,39__v4-flash-0731__baseline__pytest-dev__pytest-7571__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/39__v4-flash-0731__baseline__pytest-dev__pytest-7571__r1,39,pytest-dev__pytest-7571,deepseek/deepseek-v4-flash-0731,V4,relace,baseline,Baseline,True,True,True,1756461,57,54,0.033837456,556.7911303488072,0.9785936701575784,0.12652648383429746
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,40__v4-flash-0731__caveman_ponytail__pytest-dev__pytest-7571__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/40__v4-flash-0731__caveman_ponytail__pytest-dev__pytest-7571__r1,40,pytest-dev__pytest-7571,deepseek/deepseek-v4-flash-0731,V4,relace,caveman_ponytail,Caveman + Ponytail,True,True,True,1007774,33,33,0.021809112000000002,205.11160664702766,-0.5395120791471354,0.4464606209758399
